2026/07/07 17:18:46 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/07 17:18:46 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/07 17:18:46 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/07 17:18:46 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/07 17:18:46 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/07 17:18:46 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/07 17:18:46 Using static NPS adapter (demo mode)
2026/07/07 17:18:46 Using OpenCode HTTP adapter (timeout: 10000ms)
2026/07/07 17:18:46 ✅ 加载配置实例: Demo OpenCode Instance (demo-main)
2026/07/07 17:18:46 Loaded 1 OpenCode instances from config
2026/07/07 17:18:46 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/07 17:18:46 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/07 17:18:46 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/07 17:18:46 [PluginHub] Starting...
2026/07/07 17:18:46 pocketd listening on :8088
2026/07/07 17:18:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:19:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:20:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:21:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:22:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:23:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:24:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:25:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:26:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:27:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:28:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:29:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:30:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:31:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:32:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:33:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:34:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:35:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:36:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:37:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:38:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:39:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:40:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:41:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:42:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:43:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:44:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:45:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:46:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:47:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:48:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:49:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:50:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:51:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:52:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:53:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:54:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:55:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:56:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:57:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:58:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 17:59:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:00:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:01:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:02:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:03:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:04:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:05:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:06:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:07:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:08:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:09:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:10:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:11:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:12:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:13:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:14:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:15:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:16:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:17:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:18:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:19:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:20:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:21:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:22:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:23:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:24:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:25:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:26:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:27:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:28:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:29:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:30:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:31:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:32:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:33:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:34:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:35:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:36:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:37:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:38:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:39:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:40:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:41:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:42:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:43:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:44:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:45:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:46:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:47:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:48:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:49:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:50:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:51:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:52:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:53:46 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
2026/07/07 18:54:47 ⚠️ 实例离线: Demo OpenCode Instance (demo-main)
