2026/07/09 02:57:04 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/09 02:57:04 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/09 02:57:04 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/09 02:57:04 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/09 02:57:04 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/09 02:57:04 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/09 02:57:04 Using static NPS adapter (demo mode)
2026/07/09 02:57:04 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/09 02:57:04 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/09 02:57:04 会话迁移服务已装配（/api/migration, /api/migration/preview）
2026/07/09 02:57:04 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/09 02:57:04 [PluginHub] Starting...
2026/07/09 02:57:04 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/09 02:57:04 pocketd listening on :8088
2026/07/09 02:57:04 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 02:57:04 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 02:57:05 ✅ 发现新实例: OpenCode 1.14.33 (127.0.0.1:4096) (discovered-local-4096)
2026/07/09 02:57:05 ✅ 发现新实例: OpenCode 1.14.33 (localhost:4096) (discovered-localhost-4096)
2026/07/09 02:58:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 02:58:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 02:59:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 02:59:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:00:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:00:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:01:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:01:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:02:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:02:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:03:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:03:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:04:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:04:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:05:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:05:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:06:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:06:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:07:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:07:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:08:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:08:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:09:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:09:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:10:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:10:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:11:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:11:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:12:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:12:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:13:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:13:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:14:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:14:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:15:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:15:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:16:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:16:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:17:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:17:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:18:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:18:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:19:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:19:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:20:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:20:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:21:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:21:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:22:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:22:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:23:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:23:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:24:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:24:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:25:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:25:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:26:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:26:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:27:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:27:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:28:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:28:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:29:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:29:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:30:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:30:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:31:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:31:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:32:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:32:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:33:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:33:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:34:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:34:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:35:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:35:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:36:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:36:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:37:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:37:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:38:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:38:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:39:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:39:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:40:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:40:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:41:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:41:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:42:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:42:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:43:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:43:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:44:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:44:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:45:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:45:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 03:46:05 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 03:46:05 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
