2026/07/08 03:14:10 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 03:14:10 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 03:14:10 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 03:14:10 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 03:14:10 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/08 03:14:10 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/08 03:14:10 Using static NPS adapter (demo mode)
2026/07/08 03:14:10 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/08 03:14:10 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/08 03:14:10 [PluginHub] Starting...
2026/07/08 03:14:10 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/08 03:14:10 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/08 03:14:10 pocketd listening on :8088
2026/07/08 03:14:21 Plugin connection: mac-main
2026/07/08 03:14:21 [PluginHub] Plugin registered: mac-main (mac-main)
2026/07/08 03:14:21 [PluginConnection] Instance mac-main sent register
2026/07/08 03:14:21 ✅ 边端注册实例: MacBook Pro (ZCode v1.2) (mac-main) origin=registered
2026/07/08 03:14:24 [PluginConnection] Heartbeat from mac-main
2026/07/08 03:14:26 [PluginHub] Plugin unregistered: mac-main
2026/07/08 03:15:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:16:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:17:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:18:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:19:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:20:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:21:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:22:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:23:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:24:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:25:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:26:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:27:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:28:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:29:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:30:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:31:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:32:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:33:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:34:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:35:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:36:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:37:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:38:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
2026/07/08 03:39:11 ⚠️ 实例离线: MacBook Pro (ZCode v1.2) (mac-main)
