2026/07/08 11:40:18 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 11:40:18 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 11:40:18 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 11:40:18 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 11:40:18 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/08 11:40:18 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/08 11:40:18 Using static NPS adapter (demo mode)
2026/07/08 11:40:18 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/08 11:40:18 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/08 11:40:18 [PluginHub] Starting...
2026/07/08 11:40:18 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/08 11:40:18 会话迁移服务已装配（/api/migration, /api/migration/preview）
2026/07/08 11:40:18 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/08 11:40:18 pocketd listening on :8088
2026/07/08 11:40:18 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:40:18 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:40:19 ✅ 发现新实例: OpenCode 1.14.33 (127.0.0.1:4096) (discovered-local-4096)
2026/07/08 11:40:19 ✅ 发现新实例: OpenCode 1.14.33 (localhost:4096) (discovered-localhost-4096)
2026/07/08 11:41:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:41:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:42:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:42:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:43:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:43:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:44:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:44:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:45:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:45:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:46:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:46:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:47:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:47:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:48:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:48:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:49:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:49:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:50:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:50:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:51:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:51:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:52:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:52:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:53:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:53:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:54:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:54:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:55:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:55:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:56:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:56:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:57:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:57:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:58:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:58:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:59:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:59:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:00:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:00:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:01:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:01:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:02:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:02:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:03:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:03:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:04:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:04:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 12:05:19 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 12:05:19 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
