2026/07/08 15:42:41 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 15:42:41 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 15:42:41 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 15:42:41 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 15:42:41 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/08 15:42:41 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/08 15:42:41 Using static NPS adapter (demo mode)
2026/07/08 15:42:41 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/08 15:42:41 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/08 15:42:41 会话迁移服务已装配（/api/migration, /api/migration/preview）
2026/07/08 15:42:41 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/08 15:42:41 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/08 15:42:41 [PluginHub] Starting...
2026/07/08 15:42:41 pocketd listening on :8088
2026/07/08 15:42:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:42:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:42:41 ✅ 发现新实例: OpenCode 1.14.33 (127.0.0.1:4096) (discovered-local-4096)
2026/07/08 15:42:41 ✅ 发现新实例: OpenCode 1.14.33 (localhost:4096) (discovered-localhost-4096)
2026/07/08 15:43:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:43:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:44:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:44:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:45:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:45:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:46:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:46:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:47:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:47:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:48:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:48:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:49:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:49:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:50:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:50:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:51:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:51:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:52:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:52:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:53:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:53:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:54:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:54:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:55:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:55:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:56:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 15:56:41 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 15:57:41 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
