2026/07/08 10:49:31 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/08 10:49:31 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/08 10:49:31 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/08 10:49:31 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/08 10:49:31 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/08 10:49:31 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/08 10:49:31 Using static NPS adapter (demo mode)
2026/07/08 10:49:31 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/08 10:49:31 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/08 10:49:31 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/08 10:49:31 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/08 10:49:31 [PluginHub] Starting...
2026/07/08 10:49:31 pocketd listening on :8088
2026/07/08 10:49:31 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:49:31 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:49:32 ✅ 发现新实例: OpenCode 1.14.33 (127.0.0.1:4096) (discovered-local-4096)
2026/07/08 10:49:32 ✅ 发现新实例: OpenCode 1.14.33 (localhost:4096) (discovered-localhost-4096)
2026/07/08 10:50:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:50:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:51:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:51:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:52:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:52:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:53:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:53:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:54:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:54:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:55:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:55:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:56:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:56:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:57:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:57:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:58:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 10:58:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:59:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 10:59:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:00:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:00:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:01:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:01:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:02:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:02:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:03:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:03:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:04:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:04:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:05:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:05:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:06:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:06:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:07:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:07:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:08:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:08:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:09:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:09:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:10:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:10:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:11:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:11:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:12:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:12:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:13:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:13:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:14:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:14:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:15:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:15:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:16:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:16:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:17:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:17:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:18:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:18:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:19:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:19:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:20:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:20:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:21:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:21:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:22:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:22:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:23:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:23:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:24:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:24:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:25:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:25:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:26:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:26:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:27:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:27:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:28:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:28:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:29:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:29:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:30:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:30:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:31:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:31:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:32:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:32:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:33:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:33:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:34:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:34:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:35:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:35:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:36:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/08 11:36:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:37:32 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/08 11:37:32 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
