2026/07/09 11:20:51 WARN: POCKET_POSTGRES_DSN not set, running in remote-only mode (no local task cache)
2026/07/09 11:20:51 Dev mode: JWT signer initialized without user store (login disabled)
2026/07/09 11:20:51 WARNING: POCKET_GROQ_API_KEY not set; STT cloud fallback disabled
2026/07/09 11:20:51 WARNING: POCKET_EMBED_API_KEY not set; /api/embed disabled
2026/07/09 11:20:51 WARNING: POCKET_LLM_API_KEY not set; /api/llm/chat disabled
2026/07/09 11:20:51 INFO: POCKET_KXMEMORY_BASE_URL not set; AI classification/SSOT disabled
2026/07/09 11:20:51 Using static NPS adapter (demo mode)
2026/07/09 11:20:51 Using OpenCode HTTP adapter (timeout: 5000ms)
2026/07/09 11:20:51 ✅ 启动 OpenCode 实例自动发现（间隔: 1m0s）
2026/07/09 11:20:51 OpenCode domain managers wired: eventMgr + permMgr + quesMgr + ocMgr (refreshStatus 30s)
2026/07/09 11:20:51 会话迁移服务已装配（/api/migration, /api/migration/preview）
2026/07/09 11:20:51 [tasksync] disabled (mcpClient or taskStore not configured)
2026/07/09 11:20:51 [PluginHub] Starting...
2026/07/09 11:20:51 pocketd listening on :8088
2026/07/09 11:20:51 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:20:51 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:20:52 ✅ 发现新实例: OpenCode 1.14.33 (127.0.0.1:4096) (discovered-local-4096)
2026/07/09 11:20:52 ✅ 发现新实例: OpenCode 1.14.33 (localhost:4096) (discovered-localhost-4096)
2026/07/09 11:21:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:21:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:22:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:22:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:23:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
2026/07/09 11:23:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:24:52 [discovery] found OpenCode instance: localhost:4096 (discovered-localhost-4096)
2026/07/09 11:24:52 [discovery] found OpenCode instance: 127.0.0.1:4096 (discovered-local-4096)
